Timestep	ID	Sensor	Run	Method	Concentration
0	11	1	1	GC	1261.77
12.00	11	1	1	GC	1265.42
24.00	11	1	1	GC	5372.21
48.00	11	1	1	GC	2074.95
72.00	11	1	1	GC	3404.67
240.00	11	1	1	GC	906.98
408.00	11	1	1	GC	9053.49
576.00	11	1	1	GC	4492.67
0	21	2	1	GC	1064.63
12.00	21	2	1	GC	1404.02
24.00	21	2	1	GC	938.51
48.00	21	2	1	GC	2201.21
72.00	21	2	1	GC	2880.62
240.00	21	2	1	GC	2299.66
408.00	21	2	1	GC	2468.82
576.00	21	2	1	GC	1535.31
0	41	4	1	GC	1132.56
12.00	41	4	1	GC	1525.06
24.00	41	4	1	GC	1938.58
48.00	41	4	1	GC	2526.45
72.00	41	4	1	GC	4013.14
240.00	41	4	1	GC	7249.38
408.00	41	4	1	GC	15036.48
576.00	41	4	1	GC	1353.10
0	12	1	2	GC	833.88
12.00	12	1	2	GC	2362.92
24.00	12	1	2	GC	900.84
48.00	12	1	2	GC	818.80
72.00	12	1	2	GC	806.16
240.00	12	1	2	GC	5655.66
0	22	2	2	GC	828.34
12.00	22	2	2	GC	2294.58
24.00	22	2	2	GC	1015.28
48.00	22	2	2	GC	843.47
72.00	22	2	2	GC	817.12
240.00	22	2	2	GC	2431.30
408.00	22	2	2	GC	19170.43
576.00	22	2	2	GC	9294.29
0	42	4	2	GC	830.27
12.00	42	4	2	GC	3592.67
24.00	42	4	2	GC	849.87
48.00	42	4	2	GC	870.63
72.00	42	4	2	GC	813.01
240.00	42	4	2	GC	18799.50
408.00	42	4	2	GC	1974.42
576.00	42	4	2	GC	862.00
0	23	2	3	GC	949.48
12.00	23	2	3	GC	2108.86
24.00	23	2	3	GC	1896.39
48.00	23	2	3	GC	1522.93
72.00	23	2	3	GC	1852.27
240.00	23	2	3	GC	2222.13
408.00	23	2	3	GC	2049.21
576.00	23	2	3	GC	2675.76
0	43	4	3	GC	986.34
12.00	43	4	3	GC	2837.36
24.00	43	4	3	GC	2663.83
48.00	43	4	3	GC	3526.67
72.00	43	4	3	GC	3842.76
240.00	43	4	3	GC	4146.57
408.00	43	4	3	GC	9753.10
576.00	43	4	3	GC	20667.08
0	11	1	1	Sensor	4920.46
48.00	11	1	1	Sensor	7963.79
72.00	11	1	1	Sensor	8376.14
240.00	11	1	1	Sensor	4409.22
408.00	11	1	1	Sensor	17911.22
576.00	11	1	1	Sensor	9395.20
0	21	2	1	Sensor	603.11
12.00	21	2	1	Sensor	1633.67
24.00	21	2	1	Sensor	1562.54
48.00	21	2	1	Sensor	1050.77
240.00	21	2	1	Sensor	1824.22
408.00	21	2	1	Sensor	1102.81
576.00	21	2	1	Sensor	591.64
0	41	4	1	Sensor	2087.35
12.00	41	4	1	Sensor	4257.97
48.00	41	4	1	Sensor	1539.10
240.00	41	4	1	Sensor	7715.31
408.00	41	4	1	Sensor	11511.64
576.00	41	4	1	Sensor	989.14
0	12	1	2	Sensor	3817.78
12.00	12	1	2	Sensor	5735.75
24.00	12	1	2	Sensor	5633.81
48.00	12	1	2	Sensor	7615.20
72.00	12	1	2	Sensor	7007.95
0	22	2	2	Sensor	459.70
12.00	22	2	2	Sensor	1158.76
24.00	22	2	2	Sensor	984.42
48.00	22	2	2	Sensor	1328.63
72.00	22	2	2	Sensor	1235.96
240.00	22	2	2	Sensor	1350.24
408.00	22	2	2	Sensor	1324.00
576.00	22	2	2	Sensor	1102.23
0	42	4	2	Sensor	743.89
12.00	42	4	2	Sensor	2088.32
48.00	42	4	2	Sensor	3438.50
72.00	42	4	2	Sensor	3241.28
240.00	42	4	2	Sensor	17564.34
408.00	42	4	2	Sensor	16380.23
0	23	2	3	Sensor	151.82
12.00	23	2	3	Sensor	1142.44
24.00	23	2	3	Sensor	992.96
48.00	23	2	3	Sensor	692.61
72.00	23	2	3	Sensor	1060.63
240.00	23	2	3	Sensor	1323.09
408.00	23	2	3	Sensor	1340.81
0	43	4	3	Sensor	567.50
12.00	43	4	3	Sensor	2411.44
24.00	43	4	3	Sensor	2254.56
48.00	43	4	3	Sensor	3328.07
72.00	43	4	3	Sensor	3646.86
240.00	43	4	3	Sensor	3947.96
408.00	43	4	3	Sensor	9436.83
